2022-03-22 16:44:18 status installed lsb-base:all 11.1.0
2022-03-22 16:44:18 configure libtirpc-common:all 1.3.1-1 <none>
2022-03-22 16:44:18 status unpacked libtirpc-common:all 1.3.1-1
2022-03-22 16:44:18 status half-configured libtirpc-common:all 1.3.1-1
2022-03-22 16:44:18 status installed libtirpc-common:all 1.3.1-1
2022-03-22 16:44:18 configure debian-archive-keyring:all 2021.1.1 <none>
2022-03-22 16:44:18 status unpacked debian-archive-keyring:all 2021.1.1
2022-03-22 16:44:18 status half-configured debian-archive-keyring:all 2021.1.1
2022-03-22 16:44:18 status installed debian-archive-keyring:all 2021.1.1
2022-03-22 16:44:18 configure libaudit-common:all 1:3.0-2 <none>
2022-03-22 16:44:18 status unpacked libaudit-common:all 1:3.0-2
2022-03-22 16:44:18 status half-configured libaudit-common:all 1:3.0-2
2022-03-22 16:44:18 status installed libaudit-common:all 1:3.0-2
2022-03-22 16:44:18 configure libsemanage-common:all 3.1-1 <none>
2022-03-22 16:44:18 status unpacked libsemanage-common:all 3.1-1
2022-03-22 16:44:18 status half-configured libsemanage-common:all 3.1-1
2022-03-22 16:44:18 status installed libsemanage-common:all 3.1-1
2022-03-22 16:44:18 configure gcc-10-base:amd64 10.2.1-6 <none>
2022-03-22 16:44:18 status unpacked gcc-10-base:amd64 10.2.1-6
2022-03-22 16:44:18 status half-configured gcc-10-base:amd64 10.2.1-6
2022-03-22 16:44:18 status installed gcc-10-base:amd64 10.2.1-6
2022-03-22 16:44:18 configure ncurses-base:all 6.2+20201114-2 <none>
2022-03-22 16:44:18 status unpacked ncurses-base:all 6.2+20201114-2
2022-03-22 16:44:18 status half-configured ncurses-base:all 6.2+20201114-2
2022-03-22 16:44:18 status installed ncurses-base:all 6.2+20201114-2
